0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Oil Seeds & Oleaginous Fruits,1,Oil Seeds,E,1,"2,819,227,339.00",Metric Ton,2819227.339,July 2024,June 2024,10/17/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/8643ec8b_27a3_41cd_bbd9_9be3479f578e/2023-05-28-05-50-77ecbebf784c7504c5fc839be6ab707e.pdf,Import,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2
Oil Seeds & Other Oily Fruit,4,Oil Seeds,E,1,"37,702,245.00",Metric Ton,37702.245,July 2024,June 2024,10/17/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/8643ec8b_27a3_41cd_bbd9_9be3479f578e/2023-05-28-05-50-77ecbebf784c7504c5fc839be6ab707e.pdf,Import,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2
Flours & Meals of Oil Seeds (Not Mustard),3,Oil Seeds,E,1,"853,612.00",Metric Ton,853.612,July 2024,June 2024,10/17/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/8643ec8b_27a3_41cd_bbd9_9be3479f578e/2023-05-28-05-50-77ecbebf784c7504c5fc839be6ab707e.pdf,Import,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2
