Food Vehicle,Food Type,Processing Stage,Brand,Producer,District,City,Address,Country,Origin Country,Producer Type,Importer,Refinery   ,Distributer,Repacker,SKU,Unit,Packaging,Price,Unit ,SourceURL,Date Accessed,Process to Obtain Data
Edible Oil,Rape & Mustard,,Fresh Actifit Mustard Oil,Meghna Group of Industries,,,,Bangladesh,,Local,Y,Y,Y,Y,1,litre,Pet Bottle,350,BDT,https://www.mgi.org/businessverticals/edible-oil,10/20/2024,MGI homepage > Business Verticals > Edible Oil
Edible Oil,Soya Bean,,Teer Fortified Soyabean Oil,City Group,,,,Bangladesh,,Local,Z,Z,Z,Z,1,litre,Pet Bottle,167,BDT,https://www.citygroup.com.bd/brand,10/20/2024,City Group Homepage > Brands
Edible Oil,Soya Bean,,Teer Fortified Soyabean Oil,City Group,,,,Bangladesh,,Local,A,A,A,A,2,litre,Pet Bottle,334,BDT,https://www.citygroup.com.bd/brand,10/20/2024,City Group Homepage > Brands
Edible Oil,Soya Bean,,Teer Fortified Soyabean Oil,City Group,,,,Bangladesh,,Local,X,X,X,X,5,litre,Pet Bottle,818,BDT,https://www.citygroup.com.bd/brand,10/20/2024,City Group Homepage > Brands
Edible Oil,Soya Bean,,Teer Fortified Soyabean Oil,City Group,,,,Bangladesh,,Local,Y,Y,Y,Y,8,litre,Pet Bottle,1320,BDT,https://www.citygroup.com.bd/brand,10/20/2024,City Group Homepage > Brands
Edible Oil,Soya Bean,,ACI Pure Fortified Soyabean Oil,ACI,,,,Bangladesh,,Local,Z,Z,Z,Z,2,litre,Pet Bottle,346,BDT,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Edible Oil,Soya Bean,,ACI Pure Fortified Soyabean Oil,ACI,,,,Bangladesh,,Local,A,A,A,A,5,litre,Pet Bottle,845,BDT,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Edible Oil,Rice Bran,,ACI Nutrilife Rice Bran Oil,ACI,,,,Bangladesh,,Local,X,X,X,X,2,litre,Pet Bottle,455,BDT,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Edible Oil,Rice Bran,,ACI Nutrilife Rice Bran Oil,ACI,,,,Bangladesh,,Local,Y,Y,Y,Y,5,litre,Pet Bottle,1080,BDT,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Edible Oil,Soya Bean,,Pusti Fortified Soyabean Oil,T.K Group,,,,Bangladesh,,Local,Z,Z,Z,Z,1,litre,Poly ,165,BDT,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Edible Oil,Soya Bean,,Pusti Fortified Soyabean Oil,T.K Group,,,,Bangladesh,,Local,A,A,A,A,1,litre,Pet Bottle,167,BDT,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Edible Oil,Soya Bean,,Pusti Fortified Soyabean Oil,T.K Group,,,,Bangladesh,,Local,X,X,X,X,5,litre,Pet Bottle,818,BDT,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Edible Oil,Soya Bean,,Pusti Fortified Soyabean Oil,T.K Group,,,,Bangladesh,,Local,Y,Y,Y,Y,8,litre,Pet Bottle,1320,BDT,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Edible Oil,Palm,,Pusti Family Fortified Palm Olein Oil,T.K Group,,,,Bangladesh,,Local,Z,Z,Z,Z,2,litre,Pet Bottle,330,BDT,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Edible Oil,Rape & Mustard,,Pran Mustard Oil,PRAN,,,,Bangladesh,,Local,A,A,A,A,500,ml,Pet Bottle,180,BDT,https://www.pranfoods.net/brands/culinary-cooking-oil-pran/pran-cooking-oil,10/20/2024,Pran Homepage > Brands > Culinary > Oil
Edible Oil,Rape & Mustard,,Pran Mustard Oil,PRAN,,,,Bangladesh,,Local,X,X,X,X,1,litre,Pet Bottle,355,BDT,https://www.pranfoods.net/brands/culinary-cooking-oil-pran/pran-cooking-oil,10/20/2024,Pran Homepage > Brands > Culinary > Oil
