0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Large Scale,City Group,3,Edible Oil,1,Teer Fortified Soyabean Oil,9,8,Pet Bottle,1320,Soya Bean,4,https://www.citygroup.com.bd/brand,10/20/2024,City Group Homepage > Brands
Large Scale,ACI,4,Edible Oil,1,ACI Pure Fortified Soyabean Oil,10,2,Pet Bottle,346,Soya Bean,4,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Large Scale,ACI,4,Edible Oil,1,ACI Pure Fortified Soyabean Oil,10,5,Pet Bottle,845,Soya Bean,4,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Large Scale,ACI,4,Edible Oil,1,ACI Nutrilife Rice Bran Oil,11,2,Pet Bottle,455,Rice Bran,13,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Large Scale,ACI,4,Edible Oil,1,ACI Nutrilife Rice Bran Oil,11,5,Pet Bottle,1080,Rice Bran,13,https://www.aci-bd.com/our-companies/aci-edible-oils-ltd.html,10/20/2024,ACI Homepage
Large Scale,T.K Group,5,Edible Oil,1,Pusti Fortified Soyabean Oil,12,1,Poly,165,Soya Bean,4,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Large Scale,T.K Group,5,Edible Oil,1,Pusti Fortified Soyabean Oil,12,1,Pet Bottle,167,Soya Bean,4,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Large Scale,T.K Group,5,Edible Oil,1,Pusti Fortified Soyabean Oil,12,5,Pet Bottle,818,Soya Bean,4,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Large Scale,T.K Group,5,Edible Oil,1,Pusti Fortified Soyabean Oil,12,8,Pet Bottle,1320,Soya Bean,4,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Large Scale,T.K Group,5,Edible Oil,1,Pusti Family Fortified Palm Olein Oil,13,2,Pet Bottle,330,Palm,5,https://tkgroupbd.com/brands/,10/20/2024,T.K Group Homepage > Brands
Large Scale,PRAN,6,Edible Oil,1,Pran Mustard Oil,14,0.5,Pet Bottle,180,Rape & Mustard,9,https://www.pranfoods.net/brands/culinary-cooking-oil-pran/pran-cooking-oil,10/20/2024,Pran Homepage > Brands > Culinary > Oil
Large Scale,PRAN,6,Edible Oil,1,Pran Mustard Oil,14,1,Pet Bottle,355,Rape & Mustard,9,https://www.pranfoods.net/brands/culinary-cooking-oil-pran/pran-cooking-oil,10/20/2024,Pran Homepage > Brands > Culinary > Oil
