0,1,2,3,4,5,6
A,X,9,E,1,Bangladesh Edible Oil Limited,1
B,X,9,E,1,Meghna Group of Industries,2
C,X,9,E,1,City Group,3
D,X,9,E,1,ACI,4
E,X,9,E,1,T.K Group,6
F,X,9,E,1,PRAN,7
