Company group
N/A
Agrotech International Limited
Ali Natural Oil Mills & Agro Industries Limited
Bangladesh Edible Oil Limited
Bashundhara Group of Industries
TK Group of Industries
City Group
Globe Pharma Group of Companies
Green Oil Poultry & Feed Industries
Jamuna Industrial Agro Group
Nurjahan Group
Mahbub Group of Industries
Majumder Group
Meghna Group of Industries
Mostafa Group of Industries
MRT Group of Industries
M & J Group
Rashid Group of Industries
SA Group of Industries
TK Group
Tamim Group
PRAN
ACI
