AME,GenderID,Gender,AgeID,AgeRange
0,2,Other,1,0-14
0,2,Other,2,15-64
0,2,Other,3,65 Plus
1,3,Male,1,0-14
1,3,Male,2,15-64
1,3,Male,3,65 Plus
0.8,4,Female,1,0-14
0.8,4,Female,2,15-64
0.8,4,Female,3,65 Plus
