VehicleID,Food Vehicle,CountryID,Country supplied,FoodTypeID,Food Type,PS_ID,Processing Stage,Origin,EntityID,Producer/ processor name,Production capacity volume (MT/Y),Percentage of capacity used,ProductID,Product name,ProducerReferenceID,Identifier Number,UCID,Supply Volume Unit,Periodical Unit,Source Volume,Value in Metric Ton/ Year,Crop to 1st Processed Food stage Converted Value,Year Type ID,Year Type,Start Year,End Year,ReferenceID
2,E,2,Bangladesh,2,Soya Bean,8,Refined Oil,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,17263.061,0,0,3,Year(July-June),2022,2023,125
2,E,2,Bangladesh,5,Coconut,8,Refined Oil,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,18778.828,0,0,3,Year(July-June),2021,2022,126
2,E,2,Bangladesh,5,Coconut,8,Refined Oil,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,70499.1,0,0,3,Year(July-June),2022,2023,127
2,E,2,Bangladesh,5,Coconut,8,Refined Oil,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,72094.673,0,0,3,Year(July-June),2022,2023,128
2,E,2,Bangladesh,4,Sunflower,8,Refined Oil,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,70640.089,0,0,3,Year(July-June),2021,2022,129
2,E,2,Bangladesh,4,Sunflower,8,Refined Oil,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,351.085,0,0,3,Year(July-June),2022,2023,130
2,E,2,Bangladesh,4,Sunflower,8,Refined Oil,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,477.573,0,0,3,Year(July-June),2022,2023,131
3,W,2,Bangladesh,16,Whole Wheat,9,Wheat flour,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,633.869,0,0,3,Year(July-June),2022,2023,132
3,W,2,Bangladesh,17,Atta,9,Wheat flour,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,0,0,0,3,Year(July-June),2022,2023,133
3,W,2,Bangladesh,18,Maida,9,Wheat flour,Local,1,N/A,0,0,1,N/A,1,N/A,1,Metric Ton,Year,0,0,0,3,Year(July-June),2022,2023,134
