 Supply Volume Unit,Periodical Unit ,Unit Value
Metric Ton,Year,1
Metric Ton,Month,12
1000 t,Year,1000
1000 t,Month,12000
KG,Year,0.001
KG,Month,0.012
Gram,Year,0.000001
Gram,Month,0.000012
Gram,Day,0.000365
