Distributer Name,Food Vehicle,VehicleID,Food Type,FoodTypeID
Richardson oil Scals Ltd,E,1,Palm,5
Bangladesh Edible Oil Ltd,E,1,Rice Bran,13
IFAD Multi Products Ltd,E,1,Rice Bran,13
SM Enterprise,E,1,Soya Bean,4
SS Tradecom International,E,1,Sunflower,6
Q & Q Trading,E,1,Super Palm,14
SS Trade Company,E,1,Super Palm,14
Bangladesh Edible Oil Ltd,E,1,Super Palm,14
