FoodTypeName,VehicleID
N/A,1
Soya Bean,2
Palm,2
Sunflower,2
Coconut,2
Sesame,2
Rape & Mustard,2
Ground Nut,2
Cottonseed,2
Rapeseed & Canola,2
Rice Bran,2
Super Palm,2
Olive Oil,2
Vegetable oil,2
Palm Kernel,2
Whole Wheat,3
Atta,3
Maida,3
Wheat Crop,3
