Admin Level 3,GAL2ID,Admin Level 2
Nachol,45,Chapainawabganj
Chapainawabganjanj,45,Chapainawabganj
Shibganj,45,Chapainawabganj
Rohanpur,45,Chapainawabganj
Shirajganj,42,Shirajganj
Shahjadpur,42,Shirajganj
Ullapara,42,Shirajganj
Daudkandi,22,Comilla
Chandina,22,Comilla
Debidwar,22,Comilla
Homna,22,Comilla
Barura,22,Comilla
Nangalkot,22,Comilla
